雪月	ゆづき
瑞羽	みずは
椛	もみじ
雛多	ひなた
学級	がっきゅう
用紙	ようし
教卓	きょうたく	teacher's desk
置く	おく
内容	ないよう
修行	しゅぎょう
発表	はっぴょう
演劇	えんがき
舞台	ぶたい
科目	かもく
授業	じゅぎょう
実演	じつえん
精一杯	せいいっぱい
商店街	しょうてんがい
成功	せいこう
得意	とくい
役者	やくしゃ
衣替え	ころもがえ
厳密	げんみつ
時期	じき
遅刻	ちこく
流行る	はやる
応募	おうぼ
体育	たいいく
教師	きょうし
洗剤	せんざい
羊	ひつじ
木刀	ぼくとう
博士	はかせ
故郷	ふるさと
到着	とうちゃく
かき氷	かきごおり
就活	しゅうかつ
花束	はなたば
体験	たいけん
共犯	きょうはん
便利	べんり
鑑賞	かんしょう
椅子	いす
体勢	たいせい
口説く	くどく
放課後	ほうかご
経験	けいけん
豊富	ほうふ
以前	いぜん
避妊	ひにん
貯金箱	ちょきんばこ
節約	せつやく
賛成	さんせい
応援	おうえん
翌日	よくじつ
稼ぐ	かせぐ
合宿	がっしゅく
期待	きたい
当日	とうじつ
学会	がっかい
童話	どうわ
知恵	ちえ
新鮮	しんせん
印象	いんしょう
作者	さくしゃ
憧れ	あこがれ
気遣い	きづかい
優等生	ゆうとうせい
下級生	かきゅうせい
廊下	ろうか
競争	きょうそう
以来	いらい
出迎える	でむかえる
試験	しけん
所属	しょぞく
馴染み	なじみ
吹雪	ふぶき
衣装	いしょう
謙遜	けんそん
満更	まんざら
休憩	きゅうけい
機嫌	きげん
イタズラ
立派	りっぱ
放送	ほうそう
食いしん坊	くいしんぼう
意図	いと
鏡	かがみ
合宿	がっしゅく
雪像	せつぞう
滑る	すべる
打つ	うつ
背徳	はいとく
背徳感	はいとくかん
噛む	かむ
噛んで	かんで
深夜	しんや
背負う	せおう
保健室	ほけんしつ
