将来	しょうらい	one's future
部活動	ぶかつどう	club 
灯台	とうだい	lighthouse
今朝	けさ	this morning
満月	まんげつ	full moon
涙	なみだ	tear
流す	ながす	to drain, to pour
不意	ふい	unexpected
肌	はだ	skin
拭く	ふく	to wipe, to dry
信号	しんごう	signal
調べる	しらべる	find out, research
文字	もじ	letter, character
白状する	はくじょうする	confess
認める	みとめる	admit
乾く	かわく	to dry
否定	ひてい	denial
光景	こうけい	scene, view
風景	ふうけい	scenery, landscape
繰り返す	くりかえす	to do something over again, to repeat
自殺	じさつ	suicide
文芸部	ぶんげいぶ	literary club
創作	そうさく	creative work (novel, film, etc.)
部外者	ぶがいしゃ	outsider (of a club)
ガーゼ	ガーゼ	gauze
手探り	てさぐり	groping
掴み	つかみ	grip
昨夜	ゆうべ/さくや	last night
日付	ひづけ	date
帰宅	きたく	return home
夕方	ゆうがた	evening
思春期	ししゅんき	n/a
誘う	さそう	invite
様子	ようす	state, situation
挨拶	あいさつ	greeting
成果	せいか	result	昨日の練習の成果
発揮	はっき	show (ability)
台無し	だいなし	ruin
淑女	しゅくじょ	lady	さっきまでの淑女感が台無しだ
優雅	ゆうが	elegant, graceful
殿方	とのがた	gentlemen	優しい殿方ですね
微笑みかける	ほほえみかける	to smile (at someone)
容姿	ようし
驚く	おどろく	to be surprised
